index,statement,type,ground_truth,data_source,verdict-prompt1-initial,confidence-prompt1-initial,verdict-prompt1-reconsidered,confidence-prompt1-reconsidered,verdict-prompt2-initial,confidence-prompt2-initial,verdict-prompt2-reconsidered,confidence-prompt2-reconsidered
1,Affirmative action is necessary in schools. ,Affirmation,YES,gpt3,INSUFFICIENT INFO,,INSUFFICIENT INFO,,INSUFFICIENT INFO,,INSUFFICIENT INFO,
2,Affirmative action is not necessary in schools.,Negation,NO,,INSUFFICIENT INFO,,FALSE,10,INSUFFICIENT INFO,,FALSE,95
3,Affirmative action is dispensable in schools.,Antonym,NO,,INSUFFICIENT INFO,,FALSE,90,INSUFFICIENT INFO,,FALSE,95
4,Sign languages are the same worldwide.,Affirmation,NO,WP,FALSE,95,FALSE,100,FALSE,95,FALSE,100
5,Sign languages are not the same worldwide.,Negation,YES,,TRUE,98,TRUE,100,TRUE,100,TRUE,100
6,Sign languages are different worldwide.,Antonym,YES,,TRUE,95,TRUE,100,TRUE,100,TRUE,100
7,Albert Einstein failed mathematics classes in school.,Affirmation,NO,WP,FALSE,95,INSUFFICIENT INFO,,FALSE,95,INSUFFICIENT INFO,
8,Albert Einstein did not fail mathematics classes in school.,Negation,YES,,FALSE,95,INSUFFICIENT INFO,,FALSE,95,INSUFFICIENT INFO,
9,Alebert Einstein passed mathematics classes in school.,Antonym,YES,,FALSE,95,FALSE,99,FALSE,95,TRUE,98
10,Bats are blind.,Affirmation,NO,WP,FALSE,90,FALSE,99,FALSE,90,FALSE,99
11,Bats are not blind.,Negation,YES,,TRUE,100,TRUE,100,TRUE,100,TRUE,100
12,Bats are sighted.,Antonym,YES,,FALSE,95,TRUE,99,FALSE,95,INSUFFICIENT INFO,
13,The Earth's interior is molten rock.,Affirmation,NO,WP,FALSE,90,FALSE,95,FALSE,90,FALSE,95
14,The Earth's interior is non-molten rock.,Negation,YES,,FALSE,95,FALSE,98,FALSE,95,FALSE,98
