"Scenario","Accuracy_Pct","Correct","Abstained","Total_Attempted"
"Prompt 1 (Initial)","66.67%",284,0,426
"Prompt 1 (Reconsidered)","47.98%",202,5,421
"Prompt 2 (Initial)","63.92%",271,2,424
"Prompt 2 (Reconsidered)","49.65%",211,1,425
"---","",,,
"Prompt 1 (Total Pooled)","57.38%",486,5,847
"Prompt 2 (Total Pooled)","56.77%",482,3,849


STATISTICAL SIGNIFICANCE (McNemar Tests)
"Comparison","Diff_Pct","Chi_Sq","P_Value","Sig"
"P1 Initial vs P2 Initial","+2.75%","1.100","0.2943","No"
"P1 Recons. vs P2 Recons.","-1.67%","0.272","0.6018","No"
"P1 Recons. vs P1 Initial","-18.69%","23.160","1.491e-06","Yes (*)"
"P2 Recons. vs P2 Initial","-14.27%","12.903","0.000328","Yes (*)"
