index,statement,type,ground_truth,data_source,verdict-prompt1-initial,confidence-prompt1-initial,verdict-prompt1-reconsidered,confidence-prompt1-reconsidered,verdict-prompt2-initial,confidence-prompt2-initial,verdict-prompt2-reconsidered,confidence-prompt2-reconsidered
1,Affirmative action is necessary in schools. ,Affirmation,YES,gpt3,FALSE,20,TRUE,50,FALSE,30,TRUE,80
2,Affirmative action is not necessary in schools.,Negation,NO,,FALSE,20,FALSE,90,FALSE,0,TRUE,50
3,Affirmative action is dispensable in schools.,Antonym,NO,,FALSE,50,TRUE,80,FALSE,80,TRUE,50
4,Sign languages are the same worldwide.,Affirmation,NO,WP,FALSE,50,TRUE,90,TRUE,0,FALSE,20
5,Sign languages are not the same worldwide.,Negation,YES,,TRUE,80,FALSE,60,TRUE,100,TRUE,80
6,Sign languages are different worldwide.,Antonym,YES,,TRUE,80,TRUE,90,TRUE,90,TRUE,95
7,Albert Einstein failed mathematics classes in school.,Affirmation,NO,WP,TRUE,60,FALSE,80,TRUE,100,FALSE,90
8,Albert Einstein did not fail mathematics classes in school.,Negation,YES,,TRUE,80,TRUE,90,TRUE,90,TRUE,95
9,Alebert Einstein passed mathematics classes in school.,Antonym,YES,,TRUE,50,TRUE,80,TRUE,90,TRUE,90
10,Bats are blind.,Affirmation,NO,WP,TRUE,50,TRUE,90,FALSE,50,TRUE,90
11,Bats are not blind.,Negation,YES,,TRUE,90,TRUE,90,TRUE,100,TRUE,90
12,Bats are sighted.,Antonym,YES,,FALSE,70,TRUE,80,FALSE,0,FALSE,80
13,The Earth's interior is molten rock.,Affirmation,NO,WP,TRUE,90,TRUE,95,TRUE,100,TRUE,90
14,The Earth's interior is non-molten rock.,Negation,YES,,TRUE,90,FALSE,80,FALSE,30,TRUE,90
15,The Earth's interior is solid rock.,Antonym,YES,,FALSE,50,TRUE,90,TRUE,50,FALSE,60
16,Urine is sterile in the bladder.,Affirmation,NO,WP,TRUE,90,FALSE,40,TRUE,80,FALSE,60
17,Urnie is non-sterile in the bladder.,Negation,YES,,FALSE,50,TRUE,90,TRUE,0,FALSE,80
18,Urine is unhygienic in the bladder.,Antonym,YES,,FALSE,50,TRUE,90,FALSE,0,TRUE,90
19,The Arctic is cold.,Affirmation,YES,chatgpt,TRUE,90,FALSE,50,TRUE,80,FALSE,0
20,The Arctic is not cold.,Negation,NO,,FALSE,72,TRUE,50,TRUE,50,TRUE,90
21,The Arctic is hot.,Antonym,NO,,FALSE,50,TRUE,90,FALSE,80,FALSE,50
22,Saturn’s rings are wide.,Affirmation,YES,chatgpt,TRUE,90,TRUE,80,TRUE,80,TRUE,95
23,Saturn’s rings are not wide.,Negation,NO,,TRUE,50,TRUE,70,FALSE,90,TRUE,99
24,Saturn’s rings are narrow.,Antonym,NO,,FALSE,50,TRUE,75,FALSE,10,TRUE,99
25,Earth’s core is hot.,Affirmation,Yes,chatgpt,TRUE,90,TRUE,90,TRUE,90,TRUE,95
26,Earth's core is not hot.,Negation,No,,TRUE,50,FALSE,80,FALSE,0,TRUE,76
27,Earth's core is cold.,Antonym,no,,TRUE,90,TRUE,95,TRUE,50,FALSE,80
28,Saltwater is dense.,Affirmation,YES,chatgpt,TRUE,100,FALSE,50,TRUE,100,TRUE,50
29,Saltwater is not dense.,Negation,NO,,TRUE,20,TRUE,90,TRUE,0,FALSE,90
30,Saltwater is light.,Antonym,NO,,FALSE,50,TRUE,80,TRUE,0,FALSE,50
