--- OVERALL AVERAGE CONFIDENCE ---
"Scenario","Avg_Confidence"
"Prompt 1 (Initial)","97.05"
"Prompt 1 (Reconsidered)","96.94"
"Prompt 2 (Initial)","98.07"
"Prompt 2 (Reconsidered)","97.96"
"---",""
"Total","97.50"


--- AVERAGE CONFIDENCE BY CORRECTNESS ---
"Scenario","Avg_Correct_Confidence","Avg_Incorrect_Confidence"
"Prompt 1 (Initial)","97.17","95.00"
"Prompt 1 (Reconsidered)","97.14","93.96"
"Prompt 2 (Initial)","98.22","95.68"
"Prompt 2 (Reconsidered)","98.07","96.00"
"---","",""
"Total","97.65","95.12"


--- CONFIDENCE BY STATEMENT TYPE ---
"Scenario","Avg_Conf_affirmation","Avg_Conf_antonym","Avg_Conf_negation"
"prompt1_initial","96.79","97.26","97.11"
"prompt2_initial","97.31","98.06","98.75"
"prompt1_reconsidered","96.63","97.08","97.13"
"prompt2_reconsidered","97.05","98.05","98.78"


--- CORRELATION: CONFIDENCE VS ACCURACY ---
"Scenario","Correlation_Coef","Valid_Data_Points"
"prompt1_initial","0.1295",371
"prompt2_initial","0.1787",360
"prompt1_reconsidered","0.1978",376
"prompt2_reconsidered","0.1327",368
