--- OVERALL AVERAGE CONFIDENCE ---
"Scenario","Avg_Confidence"
"Prompt 1 (Initial)","62.36"
"Prompt 1 (Reconsidered)","67.65"
"Prompt 2 (Initial)","57.78"
"Prompt 2 (Reconsidered)","65.77"


--- AVERAGE CONFIDENCE BY CORRECTNESS ---
"Scenario","Avg_Correct_Confidence","Avg_Incorrect_Confidence"
"Prompt 1 (Initial)","63.28","60.53"
"Prompt 1 (Reconsidered)","71.20","64.38"
"Prompt 2 (Initial)","58.07","57.27"
"Prompt 2 (Reconsidered)","66.49","65.07"
"---","",""
"Total","64.17","62.34"


--- CONFIDENCE BY STATEMENT TYPE ---
"Scenario","Avg_Conf_affirmation","Avg_Conf_antonym","Avg_Conf_negation"
"prompt1_initial","75.06","51.49","60.54"
"prompt2_initial","77.65","42.09","53.47"
"prompt1_reconsidered","70.06","64.53","68.42"
"prompt2_reconsidered","68.58","61.03","67.68"


--- CORRELATION: CONFIDENCE VS ACCURACY ---
"Scenario","Correlation_Coef","Valid_Data_Points"
"prompt1_initial","0.0489",426
"prompt2_initial","0.0108",424
"prompt1_reconsidered","0.1229",421
"prompt2_reconsidered","0.0239",425
