index,statement,type,ground_truth,data_source,verdict-prompt1-initial,confidence-prompt1-initial,verdict-prompt1-reconsidered,confidence-prompt1-reconsidered,verdict-prompt2-initial,confidence-prompt2-initial,verdict-prompt2-reconsidered,confidence-prompt2-reconsidered
1,Affirmative action is necessary in schools. ,Affirmation,YES,gpt3,INSUFFICIENT INFO,,INSUFFICIENT INFO,,INSUFFICIENT INFO,,INSUFFICIENT INFO,
2,Affirmative action is not necessary in schools.,Negation,NO,,INSUFFICIENT INFO,,INSUFFICIENT INFO,,INSUFFICIENT INFO,,INSUFFICIENT INFO,
3,Affirmative action is dispensable in schools.,Antonym,NO,,INSUFFICIENT INFO,,INSUFFICIENT INFO,,INSUFFICIENT INFO,,INSUFFICIENT INFO,
4,Sign languages are the same worldwide.,Affirmation,NO,WP,FALSE,100,FALSE,100,FALSE,100,FALSE,100
5,Sign languages are not the same worldwide.,Negation,YES,,TRUE,100,TRUE,100,TRUE,100,TRUE,100
6,Sign languages are different worldwide.,Antonym,YES,,TRUE,95,TRUE,95,TRUE,100,TRUE,100
7,Albert Einstein failed mathematics classes in school.,Affirmation,NO,WP,FALSE,100,FALSE,100,FALSE,100,FALSE,100
8,Albert Einstein did not fail mathematics classes in school.,Negation,YES,,TRUE,100,TRUE,100,TRUE,100,TRUE,100
9,Alebert Einstein passed mathematics classes in school.,Antonym,YES,,TRUE,100,TRUE,100,TRUE,100,TRUE,100
10,Bats are blind.,Affirmation,NO,WP,FALSE,100,FALSE,100,FALSE,100,FALSE,100
11,Bats are not blind.,Negation,YES,,TRUE,100,TRUE,100,TRUE,100,TRUE,100
12,Bats are sighted.,Antonym,YES,,TRUE,100,TRUE,100,INSUFFICIENT INFO,,TRUE,100
13,The Earth's interior is molten rock.,Affirmation,NO,WP,TRUE,95,TRUE,95,TRUE,100,FALSE,100
14,The Earth's interior is non-molten rock.,Negation,YES,,FALSE,100,FALSE,100,FALSE,100,FALSE,100
15,The Earth's interior is solid rock.,Antonym,YES,,FALSE,95,FALSE,95,FALSE,100,FALSE,100
16,Urine is sterile in the bladder.,Affirmation,NO,WP,TRUE,90,FALSE,90,TRUE,90,FALSE,90
17,Urnie is non-sterile in the bladder.,Negation,YES,,INSUFFICIENT INFO,,TRUE,100,INSUFFICIENT INFO,,INSUFFICIENT INFO,
18,Urine is unhygienic in the bladder.,Antonym,YES,,FALSE,100,FALSE,100,FALSE,100,FALSE,100
19,The Arctic is cold.,Affirmation,YES,chatgpt,TRUE,100,TRUE,100,TRUE,100,TRUE,100
20,The Arctic is not cold.,Negation,NO,,FALSE,100,FALSE,100,FALSE,100,FALSE,100
21,The Arctic is hot.,Antonym,NO,,FALSE,100,FALSE,100,FALSE,100,FALSE,100
22,Saturn’s rings are wide.,Affirmation,YES,chatgpt,TRUE,95,TRUE,95,TRUE,95,TRUE,95
